USERID,RATINGDATE,attractionname,viamobile,ratingscore,reviewtitle
"A TripAdvisor Member ","Reviewed September 23, 2016 ","The Heidelberg Project",No,5,"Outside the box inspiration"
"A TripAdvisor Member ","Reviewed September 27, 2017 ","Comerica Park",No,5,"Detoits finest! "
"A TripAdvisor Member ","Reviewed September 4, 2017 ",Greektown,No,5,"Fun area of town"
"A_C100889 ","Reviewed June 24, 2015 ","Detroit Institute of Arts",No,5,"You Cannot Miss"
"A_France_IL ","Reviewed July 21, 2015 ","Detroit RiverFront",No,5,"Detroit River Walk / good Summer Fun"
"A1STAT ","Reviewed October 6, 2017 ","Little Caesars Arena",No,5,"Preseason Basketball DETROIT "
"A2freqtrav ","Reviewed July 8, 2014 ","Eastern Market",No,5,"If you are in Detroit on a Saturday - go!"
"a2teacher ","Reviewed February 19, 2013 ","Detroit Historical Museum",No,5,"Remodeled and Fantastic"
"A2travler ","Reviewed April 21, 2015 ","Detroit Institute of Arts",No,5,"Truly Wonderful Collection"
"aann4kd ","Reviewed December 25, 2017 ","Little Caesars Arena",No,4,"TSO concert"
"aann4kd ","Reviewed May 13, 2014 ","Fisher Theatre",No,5,"Sister Act"
"Aaron B ","Reviewed July 12, 2015 ","Eastern Market",No,5,"Always a great way to spend a day"
"Aaron B ","Reviewed July 21, 2015 ","The Heidelberg Project",No,5,"Very unique"
"Aaron B ","Reviewed March 4, 2012 ",Greektown,No,1,bad
"Aaron G ","Reviewed January 31, 2018 ","Eastern Market",No,5,"Yes you can have fun shopping"
"Aaron O ","Reviewed August 7, 2013 ","Joe Louis Arena",No,5,"Visit This place before they build the arena!"
"Aaron P ","Reviewed May 28, 2013 ","Motown Museum",No,5,"Detroit history at its finest!"
"Aaron R ","Reviewed July 29, 2016 ","Belle Isle Park",No,4,"Nice place to visit"
"Abbe S ","Reviewed April 4, 2017 ","Detroit People Mover",No,5,"Clean and safe"
"Abby G ","Reviewed August 11, 2016 ","The Heidelberg Project",No,4,"Very Cool"
"Abby G ","Reviewed October 11, 2016 ","Detroit Downtown",No,2,Um
"Abby G ","Reviewed October 4, 2016 ","Detroit People Mover",No,3,Different...
"Abby J ","Reviewed August 13, 2016 ","Detroit Institute of Arts",No,5,"Come one, come all!"
"abby217 ","Reviewed December 13, 2016 ","Comerica Park",No,5,"Twenty games a year"
"Abdullah A ","Reviewed April 9, 2016 ","Detroit RiverFront",No,5,"Good place for walking"
"AbeSingh ","Reviewed October 28, 2014 ","Fisher Mansion",No,5,"Great Place to Visit, Free FOOD too!!!"
"Abhabansal ","Reviewed June 29, 2012 ","Detroit Institute of Arts",No,5,"Absolutely Amazing"
"Abhi26_Travels ","Reviewed May 31, 2016 ","Detroit RiverFront",No,4,"Makes for a nice walk!"
"Abigail W ","Reviewed February 20, 2017 ","Greektown Casino",No,1,"TERRIBLE BARTENDERS VERY RUDE RACIST AND MONEY HUNGRY"
"Abigail W ","Reviewed February 24, 2017 ","Detroit Institute of Arts",No,3,Nice
"Abigail W ","Reviewed March 3, 2017 ","Campus Martius Park",No,5,"Fun Fun Fun"
"ABLePlymouth_MI ","Reviewed September 9, 2015 ","Detroit Institute of Arts",No,5,"What a treasure!"
"abletokhuna ","Reviewed April 16, 2015 ","Detroit Institute of Arts",No,4,"If You Live Near There – Go There"
"ABRAHAM F ","Reviewed July 22, 2017 ","Belle Isle Park",No,5,"WHY NOT LIVE TO THE FULLIST."
"ABRAHAM F ","Reviewed July 27, 2017 ","Motown Museum",No,5,"THIS IS MORE THAN JUST A BUSINESS?"
"absmom65 ","Reviewed May 24, 2015 ","Comerica Park",No,5,"Beautiful Venue"
"absmom65 ","Reviewed May 27, 2015 ","Ford Field",No,5,"Great place to watch the game."
"ABSPORTSFAN ","Reviewed July 9, 2015 ","Eastern Market",No,5,"Great Thing to do on a Saturday"
"ABSPORTSFAN ","Reviewed September 12, 2016 ","Comerica Park",No,4,"Great baseball park!"
"AbuKyle ","Reviewed August 23, 2016 ","Comerica Park",No,4,"Very nice park"
"Aburel ","Reviewed August 24, 2015 ","Detroit Institute of Arts",No,5,"A great place in Detroit"
"accio7 ","Reviewed August 20, 2015 ","Comerica Park",No,5,"Terrific ballpark, home of my Tigers!"
"ace4444 ","Reviewed August 31, 2015 ","Comerica Park",No,4,"Nice Place to See Baseball"
"acedaughter ","Reviewed January 30, 2017 ","The Ford Piquette Avenue Plant",No,5,"Wow! Docent Made It Great!"
"acedude ","Reviewed April 10, 2008 ","MGM Grand Detroit Casino",No,2,"Poor Slot Return"
"acgames ","Reviewed July 17, 2012 ","Comerica Park",No,4,"Went for a ball game"
"achoo2 ","Reviewed May 5, 2012 ",Greektown,No,4,casino
"acjcy ","Reviewed June 21, 2014 ","Motown Museum",No,5,"Must Do when in Detroit"
"acjcy ","Reviewed June 30, 2014 ","Comerica Park",No,5,"Great piece of Detroit"
"Action_Jackson2 ","Reviewed September 7, 2017 ","Charles H. Wright Museum of African American History",No,4,"Never Gets Old"
"Acton K ","Reviewed December 20, 2013 ","Comerica Park",No,5,"THE place to watch the game"
"ACW2243 ","Reviewed July 6, 2015 ","Detroit Institute of Arts",No,5,"A Truly Great Experience"
"ACW2243 ","Reviewed July 8, 2015 ","Eastern Market",No,4,"It Keeps Going and Going and Going"
"ad0121 ","Reviewed January 17, 2017 ","Detroit Opera House",No,4,"Accessibility of Detroit Opera House"
"ad0121 ","Reviewed September 2, 2014 ","Comerica Park",No,5,"Accessible Ballpark"
"Adam G ","Reviewed January 24, 2015 ","Two James Spirits",No,4,"Spirits of the Round Table"
"Adam P ","Reviewed December 1, 2015 ","Detroit Historical Museum",No,5,"A Gem in Midtown"
"Adam P ","Reviewed February 28, 2018 ","Little Caesars Arena",No,4,"Big Upgrade from the Joe"
"Adam S ","Reviewed 3 days ago ","Fisher Building",No,4,"Impressive Architecture and History"
"Adam S ","Reviewed November 1, 2015 ","Motown Museum",No,4,"great tour"
"Adam T ","Reviewed May 23, 2015 ","Fisher Building",No,5,"Beautiful building"
"Adam W ","Reviewed October 28, 2015 ","Eastern Market",No,5,"Lions Game Tailgate Review"
"adam0425 ","Reviewed February 17, 2018 ","MGM Grand Detroit Casino",No,2,Rude
"Adam080 ","Reviewed April 30, 2013 ",Greektown,No,3,"A Quick Walk"
"adameg ","Reviewed September 25, 2015 ","Comerica Park",No,5,"Tigers game"
"AdamKlu ","Reviewed June 28, 2013 ","Detroit Institute of Arts",No,5,"Do not miss this."
"Adem A ","Reviewed April 10, 2016 ","Detroit Institute of Arts",No,5,"Great blend of local and international art"
"Aditya G ","Reviewed October 28, 2014 ","Detroit RiverFront",No,4,"Amazing Place"
"ADJ_Wanderlust ","Reviewed October 21, 2015 ","Comerica Park",No,5,"Adrenaline Rush"
"ADJ_Wanderlust ","Reviewed October 29, 2015 ","Fox Theatre",No,4,"Amazing experience"
"Adnil-94102 ","Reviewed February 15, 2018 ","Charles H. Wright Museum of African American History",No,5,"An absolute gem. A must see on your visit to Detroit."
"Adnil-94102 ","Reviewed November 21, 2017 ","Detroit Institute of Arts",No,5,"Deserving of its high marks on TripAdvisor"
"AdrianaJoh14 ","Reviewed May 28, 2017 ","Detroit Institute of Arts",No,5,"One of the 4th top art museums in U.S., worth the trip to Detroit just to see it"
"adrianna24sings ","Reviewed February 15, 2013 ","Detroit Symphony Orchestra",No,5,"A Masterpiece Symphony"
"adrianna24sings ","Reviewed January 17, 2013 ","Detroit Institute of Arts",No,5,"An art cultural mecca!"
"adrianne l ","Reviewed November 30, 2014 ","Detroit Institute of Arts",No,5,"Bigger on the inside"
"AdriCampbell ","Reviewed July 21, 2017 ","Fisher Building",No,5,"An Historic Landmark"
"Adrienne C ","Reviewed July 3, 2017 ","The Heidelberg Project",No,3,"Eclectic collection of junk"
"Adrienne L ","Reviewed February 20, 2018 ","Motown Museum",No,5,"Short but even sweeter!"
"AdrienneSip ","Reviewed April 4, 2015 ","Detroit Historical Museum",No,4,"Spend 2 hours learning about Detroit at this this FREE museum!"
"AdrienneSip ","Reviewed June 13, 2015 ","Eastern Market",No,4,"Go early! Great prices and big crowds!"
"AdrienneSip ","Reviewed November 5, 2012 ","Detroit Institute of Arts",No,4,"Faberge&rsquo Egg Exhibit worth the fee! (Nov. 13-21 $5 off coupon available!)"
"adrijames23 ","Reviewed July 31, 2011 ","Fisher Mansion",No,5,"beautiful place"
"AdrockDallas ","Reviewed September 20, 2016 ","MotorCity Casino",No,2,"Stayed two nights, room never cleaned"
"ads7788 ","Reviewed July 24, 2015 ","Motown Museum",No,5,Pilgrimage!
"adshawver ","Reviewed February 8, 2018 ","Little Caesars Arena",No,5,"MUST SEE ARENA!!!"
"adslack ","Reviewed September 22, 2016 ","Comerica Park",No,4,"A very nice Park to watch a game"
"AdventureMonkey12 ","Reviewed May 19, 2015 ","Comerica Park",No,5,"Amazing Ball Park!"
"AdventuresTravelClub ","Reviewed June 14, 2016 ","MotorCity Casino",No,5,Winners!
"Adventurousness ","Reviewed January 29, 2013 ","Cobo Center",No,5,"The Future"
"aebmd ","Reviewed July 2, 2014 ","Detroit Institute of Arts",No,5,"Great art museum"
"aelainen ","Reviewed February 20, 2016 ","Detroit Institute of Arts",No,5,"Amazing museum in the City"
"Aerie5 ","Reviewed July 9, 2015 ","Comerica Park",No,1,"May be great for baseball, but horrible for a concert."
"AFM33 ","Reviewed November 11, 2014 ","Belle Isle Park",No,4,"Restoring a gem!"
"Aga9 ","Reviewed September 5, 2011 ","MotorCity Casino",No,4,"Fun, fun, fun!"
"agac ","Reviewed August 19, 2017 ","Comerica Park",No,4,"was impressed"
"AGG1978 ","Reviewed August 10, 2013 ","Detroit Institute of Arts",No,5,"Amazing exhibits"
"AggieBandMom02 ","Reviewed August 7, 2016 ","The Ford Piquette Avenue Plant",No,5,"Tout by Gary (or Jerry)"
"aghdar ","Reviewed April 21, 2015 ","Detroit RiverFront",No,5,"Don&rsquot miss it!!"
"agk62679 ","Reviewed April 2, 2012 ","Detroit People Mover",No,4,"Very convenient and low cost"
"Ahmad A ","Reviewed November 10, 2016 ","The Ford Piquette Avenue Plant",No,5,"Awesome "
"AHotaling ","Reviewed October 26, 2015 ","Detroit RiverFront",No,5,"Fabulous views, easy to walk"
"aichinka ","Reviewed December 21, 2017 ","Joe Louis Monument",No,3,"A brief stop before riverwalk"
"aichinka ","Reviewed November 10, 2017 ","Detroit Institute of Arts",No,5,"4 hours and not tired of it!"
"aichinka ","Reviewed November 18, 2017 ","Eastern Market",No,5,"Cheap fresh produce!"
"aidag707 ","Reviewed August 14, 2015 ","Comerica Park",No,4,"Fun! Fun!"
"AikenJoshAndrew ","Reviewed January 4, 2014 ","Detroit Institute of Arts",No,4,"This is a must Visit."
"Aileen F ","Reviewed August 5, 2014 ","Motown Museum",No,5,"A must see"
"Aileen674 ","Reviewed July 23, 2012 ","Detroit Institute of Arts",No,5,"i love the DIA...go at least 3-4 times a year and take guests."
"Aimee H ","Reviewed April 25, 2014 ","MotorCity Casino",No,4,"Love walking out with more than I came with!!"
"Aimee W ","Reviewed July 17, 2017 ","Comerica Park",No,4,"Went to catch a couple of Jays games at Comerica Park "
"aimeeln ","Reviewed June 12, 2013 ","Detroit Institute of Arts",No,5,"Always a unique experience."
"aimeeln ","Reviewed June 6, 2012 ","Detroit Historical Museum",No,4,"A special surprise that will delight you in Detroit"
"Airrion H ","Reviewed December 23, 2015 ","Masonic Temple",No,5,"a city gem"
"Airrion H ","Reviewed December 24, 2015 ","The Heidelberg Project",No,1,"this one place i cant stand, IS AN EXCUSE TO CALL TRASH ART"
"Airrion H ","Reviewed June 27, 2016 ","Detroit RiverFront",No,5,"what a beautiful place"
"Airrion H ","Reviewed March 15, 2016 ","Detroit Downtown",No,5,"a place that has so many things to do"
"Airrion H ","Reviewed May 26, 2016 ","Cobo Center",No,5,"a city gem"
"Airrion H ","Reviewed November 20, 2015 ","Comerica Park",No,4,"from the day the place open i have been here"
"Airrion H ","Reviewed September 29, 2015 ","Belle Isle Park",No,5,"a good place to relax and enjoy the water"
"ajctraveler ","Reviewed 4 weeks ago","Little Caesars Arena",No,5,"Amazing arena for basketball championships!"
"AJK810 ","Reviewed July 1, 2015 ","The Ford Piquette Avenue Plant",No,5,"Wonderful Wedding"
"AJK810 ","Reviewed June 5, 2015 ","GM Renaissance Center",No,2,"Still a maze"
"AJK810 ","Reviewed September 7, 2015 ","Woodward Avenue",No,5,"Best city drive in US"
"ajzale ","Reviewed July 19, 2017 ","Comerica Park",No,4,"CoPa - A modern classic ballpark"
"AK-TravelerAlaska ","Reviewed September 9, 2012 ","Motown Museum",No,5,"How could you miss it?"
"Akashi J ","Reviewed 1 week ago ","Charles H. Wright Museum of African American History",No,5,"A Journi throughout the ages of African Culture & History"
"Akashi J ","Reviewed 3 weeks ago","Eastern Market",No,5,"Coolest Community Market Venue On Earth"
"AKAshon ","Reviewed 2 weeks ago ","Little Caesars Arena",No,4,"Free Parking at Greektown Casino & Hotel Parking Garage (20 min. walk away) - Lower Bowl Better View than Floor Seats"
"AKAshon ","Reviewed April 15, 2017 ","Belle Isle Park",No,4,"Dossins Museum & the Conservatory "
"AKAshon ","Reviewed April 16, 2017 ","Dossin Great Lakes Museum",No,5,Awesome!
"AKAshon ","Reviewed February 20, 2018 ","Max M. Fisher Music Center",No,4,"Beautiful Venue! "
"AKAshon ","Reviewed February 25, 2017 ","The Fillmore Detroit",No,3,"Nice Theatre! Mediocre Performance!"
"AKAshon ","Reviewed January 22, 2017 ","Detroit Opera House",No,4,"Great Nutcracker Performance!"
"AKAshon ","Reviewed July 28, 2017 ","Fox Theatre",No,4,"DETROIT Film Premiere! "
"AKAshon ","Reviewed March 26, 2017 ","Masonic Temple",No,4,"Nice, Aged Theater"
"AKAshon ","Reviewed November 11, 2016 ","Fisher Theatre",No,3,"Beautiful Theatre, Mediocre Musical"
"AKAshon ","Reviewed November 6, 2016 ","Fisher Mansion",No,4,"Very Interesting! "
"AKAshon ","Reviewed October 13, 2016 ","Sound Board Theater",No,4,Nice!
"AKAshon ","Reviewed October 15, 2016 ","Detroit Downtown",No,4,Great!
"AKAshon ","Reviewed October 16, 2016 ","Detroit Opera House",No,3,"A Decent Experience "
"AKAshon ","Reviewed October 22, 2016 ","The Guardian Building",No,3,"Pure Detroit Tour!!!"
"AKAshon ","Reviewed October 28, 2016 ","GM Renaissance Center",No,4,"Great Pure Detroit Tour!"
"AKAshon ","Reviewed October 3, 2016 ","Comerica Park",No,3,"Nice stadium"
"AKAshon ","Reviewed October 6, 2016 ","Michigan Central Station",No,4,"Beautiful But Empty"
"AKAshon ","Reviewed October 8, 2016 ","Detroit Historical Museum",No,2,"Boring! Only the &rsquoStreets of Old Detroit&rsquo was Good!"
"AKAshon ","Reviewed September 19, 2016 ","Detroit Institute of Arts",No,5,"Awesome! "
"AKAshon ","Reviewed September 25, 2016 ","Eastern Market",No,3,"Good for the food!"
"Akemi K ","Reviewed June 7, 2016 ","Detroit RiverFront",No,4,"Not what you expect"
"AKgrown_goes_to_Indo ","Reviewed August 13, 2017 ","Fisher Building",No,5,"don&rsquot miss it"
"Akhaley ","Reviewed July 15, 2011 ","Charles H. Wright Museum of African American History",No,4,"A walk through time"
"Akleit ","Reviewed September 11, 2016 ","Comerica Park",No,5,"Go Tigers!"
"Akuna M ","Reviewed April 21, 2015 ","Detroit People Mover",No,5,"Fun times"
"Akuna M ","Reviewed August 19, 2014 ","Ford Field",No,5,"Nice place"
"Al L ","Reviewed November 9, 2017 ","Detroit People Mover",No,5,"a fantastic way to see the city"
"Al M ","Reviewed May 11, 2017 ","Detroit Institute of Arts",No,5,"Interesting Art and beyound"
"Al T ","Reviewed March 16, 2016 ","Joe Louis Arena",No,5,"Red Wings Game"
"al-diana ","Reviewed January 22, 2015 ","Cobo Center",No,5,"fun auto show-2015"
"al-diana ","Reviewed July 27, 2017 ","MotorCity Casino",No,5,"very cool place to go & have fun...."
"al-diana ","Reviewed September 27, 2014 ","Eastern Market",No,5,"best place to come on a summer weekend....."
"al-diana ","Reviewed September 3, 2015 ","Belle Isle Park",No,5,"wonderful park"
"alainbeland ","Reviewed January 21, 2016 ","Cobo Center",No,3,"COBO Center - perfect location for Detroit Auto Show"
"Alan B ","Reviewed August 18, 2015 ","African Bead Museum",No,5,"A tribute to art, Africa and a man&rsquos dreaming."
"Alan B ","Reviewed September 23, 2014 ","Ford Field",No,5,"Packers v Lions"
"Alan F ","Reviewed January 16, 2016 ","Ford Field",No,5,"Best of NFL Stadiums"
"Alan G ","Reviewed June 22, 2016 ","Motown Museum",No,5,"Marvellous for music lovers "
"Alan H ","Reviewed November 25, 2013 ","The Redford Theatre",No,5,"A Great, Nostalgic Way to Spend the Evening"
"Alan K ","Reviewed November 7, 2015 ","Joe Louis Arena",No,2,"Hard time getting to the Arena"
"Alan M ","Reviewed December 18, 2014 ","Ford Field",No,4,"Denied at gate mars otherwise great day"
"Alan M ","Reviewed December 30, 2015 ","Detroit People Mover",No,5,"This is how you get to Joe Louis Arena."
"Alan P ","Reviewed July 16, 2015 ","Detroit Institute of Arts",No,4,"Impressive Collection"
"Alan S ","Reviewed July 29, 2013 ","Detroit Institute of Arts",No,5,"Rivera murals"
"alan w ","Reviewed April 10, 2017 ","Motown Museum",No,5,"There are not words....."
"alan w ","Reviewed April 9, 2017 ","Detroit Institute of Arts",No,5,"Entire day of Art possible"
"Alan304 ","Reviewed June 18, 2017 ","Comerica Park",No,5,"Great experience "
"AlanCaskey ","Reviewed April 22, 2015 ","Detroit Institute of Arts",No,5,"Great Museum"
"Alanna S ","Reviewed August 14, 2012 ","Detroit Institute of Arts",No,3,"Not the Chicago Institute of Art"
"Albanut ","Reviewed February 22, 2017 ","Campus Martius Park",No,4,"Great place to people watch"
"ALBarrie ","Reviewed August 10, 2016 ","Comerica Park",No,5,"Great place to watch a ball game"
"ALBennett ","Reviewed April 16, 2012 ","Joe Louis Arena",No,4,"Classic Hockey Arena"
"Albert C ","Reviewed November 23, 2012 ","Greektown Casino",No,5,"Great Time !!!"
"AlbertaVagabond ","Reviewed October 30, 2012 ","Motown Museum",No,5,"Motown Magic"
"ALCabotaje ","Reviewed August 19, 2015 ","GM Renaissance Center",No,3,"Renaissance Center"
"Aldmar F ","Reviewed January 18, 2016 ","Cobo Center",No,5,"North American International Auto Show"
"Aldmar F ","Reviewed June 5, 2015 ","Detroit-Windsor Tunnel",No,3,"Cool experience!"
"Aldmar F ","Reviewed March 18, 2015 ",Greektown,No,4,"Nice and fun place!"
"Aldmar F ","Reviewed May 21, 2015 ","Belle Isle Park",No,3,"Nice Park"
"Alec H ","Reviewed August 30, 2016 ","Detroit Institute of Arts",No,5,"Wonderful Institution"
"AlecO O ","Reviewed March 3, 2018 ","Central United Methodist Church",No,5,"A beautiful Church in the very heart of Detroit . Active in the world ."
"Aleise ","Reviewed January 5, 2012 ","Detroit People Mover",No,5,"super view of downtown Detroit"
"Alejandra V ","Reviewed July 10, 2017 ","Detroit Institute of Arts",No,4,"Museum "
"Alejandro A ","Reviewed May 24, 2017 ","Detroit Institute of Arts",No,5,"A true gem."
"Alejandro R ","Reviewed March 19, 2017 ","Motown Museum",No,5,"You have to go!"
"alejotb ","Reviewed March 7, 2015 ","The Ford Piquette Avenue Plant",No,5,"Great Gided Tour"
"alembr ","Reviewed June 27, 2015 ","Detroit Institute of Arts",No,5,"A gem in the heart of Detroit"
"alex154995 ","Reviewed June 21, 2017 ","Detroit Institute of Arts",No,5,"Overlooked museum"
"AlexandBunnie ","Reviewed July 1, 2012 ","Detroit Downtown",No,4,Riverfront
"Alexander G ","Reviewed October 30, 2017 ","Detroit Historical Museum",No,5,"Great Donation Based Museum"
"Alexander P ","Reviewed December 21, 2017 ","Comerica Park",No,5,"Baseball game"
"Alexander S ","Reviewed January 16, 2016 ","Fisher Building",No,5,"Informative tour"
"Alexander V ","Reviewed May 4, 2014 ","Detroit RiverFront",No,5,"Very nice place to visit"
"Alexandra M ","Reviewed July 12, 2015 ","Eastern Market",No,5,"Sunday&rsquos in the Summer"
"AlexAtFox ","Reviewed November 26, 2017 ","Fox Theatre",No,2,disorganized
"alexbaby33 ","Reviewed October 22, 2012 ","Motown Museum",No,5,"a weekend getaway"
"Alexchoe ","Reviewed September 2, 2014 ","Comerica Park",No,4,"It was fun but pricey drinks"
"alexfromtoronto2016 ","Reviewed May 24, 2016 ","Detroit Opera House",No,5,"A nice building, a beautiful performance."
"alexkuruvi ","Reviewed July 26, 2012 ","Motown Museum",No,5,"A nostalgic visit to the Motown Museum with &rdquoMy Girl&rdquo!"
"Alexsm6 ","Reviewed June 16, 2015 ","Motown Museum",No,5,Amazing!
"alfiemp ","Reviewed August 17, 2015 ","Detroit Institute of Arts",No,5,"A Gem"
"Alfio G ","Reviewed August 23, 2017 ","Motown Museum",No,5,"No Photos "
"Alfonso M ","Reviewed August 28, 2013 ","Comerica Park",No,4,"Beautiful Stadium! City not so much..."
"Alfred79 ","Reviewed April 22, 2016 ","Charles H. Wright Museum of African American History",No,5,"A Grim Piece of American History Eloquently Presented"
"ALFreundl ","Reviewed April 10, 2017 ","Detroit Institute of Arts",No,5,"A classic gem "
"AlfSue ","Reviewed September 30, 2013 ","Ford Field",No,4,"Nice Stadium"
"Ali D ","Reviewed January 6, 2016 ","Motown Museum",No,5,"Motown Sound! Famous &rdquoStudio A&rdquo!"
"Ali S ","Reviewed March 2, 2012 ","Ford Field",No,4,"Tons of fun, but a little pricey."
"Ali07London ","Reviewed August 11, 2017 ","The Ford Piquette Avenue Plant",No,5,"A real must if you can make a tour 12 noon or 2 pm - a hidden gem"
"Ali07London ","Reviewed August 12, 2017 ","Motown Museum",No,4,"would have been great to see the museum but all sold out"
"alibird ","Reviewed August 27, 2015 ","Detroit Institute of Arts",No,5,"Beautiful and diverse collection!"
"Alice C ","Reviewed August 29, 2017 ","Eastern Market",No,5,"Family trip"
"Alice T ","Reviewed August 2, 2017 ","Belle Isle Park",No,4,&rdquoMemories&rdquo
"Alice T ","Reviewed January 23, 2013 ","Detroit Institute of Arts",No,4,"Wonderful Art"
"Alice T ","Reviewed March 14, 2015 ","Eastern Market",No,5,"Wow! Exciting place to visit on a Saturday morning."
"alicia c ","Reviewed August 2, 2015 ","Michigan Science Center",No,3,"Visit to the Science Center"
"Alicia S ","Reviewed March 1, 2017 ","Detroit Institute of Arts",No,5,"One of America&rsquos great musuems"
"Alicia S ","Reviewed March 9, 2017 ","Michigan Science Center",No,5,"Drive in from the subburbs"
"AliiDrive ","Reviewed May 11, 2012 ","Detroit Institute of Arts",No,5,"A world-class museum"
"Alikatt62 ","Reviewed October 15, 2016 ",Greektown,No,5,"A little bit of everything!"
"Alina M ","Reviewed May 1, 2015 ","Detroit Institute of Arts",No,5,"Friday Night Live"
"Alina M ","Reviewed May 22, 2015 ","Detroit Symphony Orchestra",No,5,Spectacular!
"aliosun ","Reviewed October 26, 2015 ","Detroit Institute of Arts",No,5,"A great collection"
"Alisha C ","Reviewed May 28, 2016 ","Comerica Park",No,5,"Great Game"
"Alisha H ","Reviewed April 10, 2012 ","The Guardian Building",No,4,"Beautiful architecture!"
"Alison C ","Reviewed March 11, 2018 ","Fisher Theatre",No,4,"Always enjoy visiting this theatre!"
"Alison C ","Reviewed March 3, 2018 ","Comerica Park",No,4,"Great ballpark!"
"Alison D ","Reviewed January 28, 2016 ","Motown Museum",No,5,"Groovy step into the past"
"Alison D ","Reviewed September 6, 2016 ","Ford Field",No,5,"Concert "
"AlissaJ5 ","Reviewed 2 days ago ","Detroit Institute of Arts",No,5,"Amazing collection "
"Alissar H ","Reviewed April 14, 2015 ","Detroit Historical Museum",No,4,Nice
"Alitalia10 ","Reviewed June 25, 2017 ","Detroit Institute of Arts",No,5,"Great "
"ALJSKEE ","Reviewed February 15, 2014 ","Detroit Downtown",No,5,"Safer than I thought but still sketchy"
"alkonet ","Reviewed July 16, 2015 ","Motown Museum",No,4,"Interesting house and studio tour - Recommended for Motown Fan"
"Allan G ","Reviewed June 25, 2013 ","Motown Museum",No,5,"HITSVILLE USA"
"Allan2 ","Reviewed August 18, 2016 ","The Ford Piquette Avenue Plant",No,5,"Walk Through History"
"Allan2 ","Reviewed August 26, 2014 ","Detroit Historical Museum",No,4,"Great Free Museum"
"allanbowers ","Reviewed October 2, 2016 ","Fox Theatre",No,5,"Over the top decor"
"AllanGo ","Reviewed June 25, 2014 ","Detroit Institute of Arts",No,5,"DIA is a treasure worth saving"
"AllanS1 ","Reviewed May 19, 2012 ","Detroit People Mover",No,4,"one way only but it gets you there"
"Allen B ","Reviewed August 27, 2017 ","MGM Grand Detroit Casino",No,4,"Not bad"
"Allen B ","Reviewed October 2, 2016 ","Fox Theatre",No,5,"Saw Brian Wilson in This Phenomenal Venue"
"Allen G ","Reviewed August 30, 2017 ","Motown Museum",No,5,"Great tour of Motown Museum"
"Allen T ","Reviewed November 11, 2015 ","Detroit-Windsor Tunnel",No,5,"Short trip"
"Allen W ","Reviewed October 14, 2015 ","Detroit People Mover",No,5,"Must do!"
"Allen W ","Reviewed September 9, 2014 ","Motown Museum",No,5,Wow
"AllenW75 ","Reviewed August 2, 2014 ","Detroit Institute of Arts",No,5,"Amazing Environment"
"Allez-y-donc ","Reviewed August 25, 2013 ","The Ford Piquette Avenue Plant",No,5,"Making Detroit proud -"
"Allie E ","Reviewed March 31, 2017 ","Detroit Institute of Arts",No,4,"World Class Art in Detroit"
"Allie P ","Reviewed January 20, 2013 ","Eastern Market",No,4,"Such a great time, and delicious food & veggies!"
"Allison D ","Reviewed October 18, 2012 ","Comerica Park",No,4,"Cool and cozy ball park"
"Allison Holly S ","Reviewed June 28, 2016 ","Comerica Park",No,4,"Tiger game"
"Allison O ","Reviewed January 17, 2014 ","Comerica Park",No,5,"Great Ballpark"
"Allison R ","Reviewed September 29, 2014 ","Joe Louis Arena",No,4,"Old but always a good time!"
"allisoncracc ","Reviewed October 24, 2016 ","Detroit Institute of Arts",No,5,"Crown Jewel of Detroit"
"AllisonMB555 ","Reviewed September 10, 2014 ","Ambassador Bridge",No,3,"Use the Blue Water Bridge if Practicle"
"AllisonMB555 ","Reviewed September 11, 2014 ","The Redford Theatre",No,5,"Awesome Time and Value"
"Allistra ","Reviewed May 29, 2016 ",Greektown,No,4,"Good variety of restaurants"
"allnew ","Reviewed August 5, 2015 ","Detroit Institute of Arts",No,3,"Detroit&rsquos special museum"
"allrightie ","Reviewed August 17, 2017 ","Comerica Park",No,4,"Incorrect string value"
"allrightie ","Reviewed August 26, 2017 ","Ford Field",No,3,"To each his own"
"allthegirls2014 ","Reviewed April 6, 2014 ","Detroit Institute of Arts",No,5,"Proud to show off this Detroit gem"
"Ally O ","Reviewed June 22, 2017 ","Detroit RiverFront",No,5,"Great day trip "
"Allyson S ","Reviewed July 29, 2015 ","Joe Louis Arena",No,5,Magical!
"allyson360 ","Reviewed May 20, 2014 ","Detroit RiverFront",No,3,"Not finished"
"Alonda H ","Reviewed March 12, 2014 ",Mexicantown,No,4,"We love their food and service!"
"Alonzo B ","Reviewed October 20, 2014 ","Charles H. Wright Museum of African American History",No,5,"Very Nice Museum"
"ALpalpalpalpalp ","Reviewed August 25, 2016 ","Detroit RiverFront",No,3,"massive blue river"
"alphabetty ","Reviewed April 23, 2009 ","The Heidelberg Project",No,3,"Very interesting....didn&rsquot feel comfortable getting out of the car"
"alphaqueen ","Reviewed May 28, 2014 ","Detroit RiverFront",No,4,"Romantic walkway"
"AltamonteTraveler ","Reviewed June 13, 2017 ","Michigan Science Center",No,5,"Great for All Ages"
"AltamonteTraveler ","Reviewed June 14, 2017 ","Belle Isle Park",No,5,"Beautiful Natural Environment in the City"
"altogardener ","Reviewed January 27, 2017 ","The Guardian Building",No,4,"Cool, art deco building"
