USERID,address
"Barbie A ",null
"BarbT_Phila_PA ","Orlando, Florida"
"Barbulet ","Maastricht, The Netherlands"
"Bard L ","Saint Clair Shores, Michigan"
"Barenderfl ",Detroit
"bargrae ","Dublin, Ireland"
"barnet38 ","Detroit, Michigan"
"barney4852 ","Bend, Oregon"
"barneyd99 ",barneyd99
"barnfeline ","Edmonton, Canada"
"Baronation ",null
"BaronessEast ","New York City"
"BaronFoer ","Jacksonville, Florida"
"Barry B ",Peterborough
"Barry C ","Detroit, Michigan"
"Barry1959 ",null
"BarryN857 ","Detroit, Michigan"
"barrythewombat ","northern california"
"BaseballTraveler16 ","White Lake, Michigan"
"basic42391 ","Lansing, Michigan"
"bassetthound18 ","Grand Rapids, Michigan"
"BathCityUSA ","Mount Clemens, Michigan"
"BathMonkey ",null
"batikmom ","Beverly Hills, Michigan"
"baxterau ",Macomb
"BayAreaTraveler2 ","New York City, New York"
"baybahandbabe ","Detroit, Michigan"
"BayCitySue ",Michigan
"baydahanna ","Sterling Heights, Michigan"
"bb10161 ","Clarkston, Michigan"
"bbcrfc ","Toronto, Canada"
"bbrauns ",null
"BCMorris ","Morris, Illinois"
"BCox5495 ",Leslie
"BCRoadie ","Victoria, Canada"
"bcsystems ","Westland, Michigan"
"BDavis1236 ","Westland, Michigan"
"bdcall ","Ann Arbor, Michigan"
"bdd48226 ",null
"BDNRHarris ","Charlevoix, Michigan"
"bdochert ","Garden City, Michigan"
"bdrummy ","New York City"
"bdun87 ",Windsor
"beach bum in ohio ",perrysburg
"Beach1001 ","Lake Orion, Michigan"
"beachaloperon ","Ann Arbor, Michigan"
"beachbumtim ","Medina, Ohio"
"BeachLover1997 ","Evansville, Indiana"
"beachlover2011_11 ",Ontario
"BeachnSnowTraveler ","Bangor, Maine"
"Beachtime1376 ","Hilton Head, South Carolina"
"Beacon0405 ",null
"Beadle_07 ",Illinois
"BeaEllen W ","Memphis, Michigan, United States"
"Beanie239 ","Syracuse, New York"
"Bearable1954 ","New Braunfels"
"Bears3454 ",null
"BeatlesFan33 ","Cincinnati, Ohio"
"Beaton62 ",Ontario
"Beattieclan ","Detroit, Michigan"
"beavermomma ","Ramsey, New Jersey"
"Beavis007 ","Battle Creek, Michigan"
"Becca M ",null
"Becca U ","Houston, Texas"
"becca702016 ","Toronto, Canada"
"beckmey11 ","Pleasant Ridge, Michigan,United States"
"becksfamily ","Warren, Michigan"
"Becky D ","Toronto, Canada"
"Becky G ","Macomb, Michigan"
"Becky R ","Manchester, Michigan"
"Becky T ","Troy, Michigan, United States"
"Becky W ","Grand Traverse County, Michigan"
"Becky053 ","Beverly Hills, Michigan, USA"
"Becky621 ","Jenison, Michigan"
"beckysuenyc ",nyc
"BeckySuzyMom ","Columbus, Ohio"
"bedot ","Milwaukee, Wisconsin"
"Beenhereawhile_DB ","Southfield, Michigan"
"beenhereforever ","Amherstburg, Canada"
"beenr271 ","Southeastern MI"
"beerbob1950 ","Sturgis, Michigan"
"BeLaZe ","Penfield, New York"
"Belinda K ","Melbourne, Australia"
"belizebound2014 ","Detroit, Michigan"
"BellaBeachGirl ","Cape Cod, Massachusetts"
"BelleClover ",Michigan
"Bellecoop ","Alexander, Arkansas"
"Ben A ",null
"Ben C ","Linden, Michigan"
"Ben H ",null
"Bendaire ","Cincinnati, Ohio"
"benduf7 ","Ann Arbor, Michigan"
"Benjamin G ","Detroit, Michigan"
"Benjamin O ","Mount Clemens, Michigan"
"bennis91 ","Northern Virginia"
"Bennyjenkins79 ",null
"benthony_ny ",null
"berlaxin ","South Lyon, Michigan"
"BermyHelenWilson ","Hamilton, Bermuda"
"Bernadette H ",USA
"Bernardo F ","Detroit, Michigan"
"beryle2 ","Grand Rapids, Michigan"
"Beta J ","Rochester Hills, Michigan"
"Beth B ","Huntington Woods, Michigan"
"Beth C ","E. Lansing"
"Beth E ","Rochester, MI"
"Beth K ","Southfield, Michigan, United States"
"Beth N ",GR
"Beth W ","Kalamazoo, Michigan"
"Bethann D ","Detroit, Michigan"
"Bethany F ","Los Angeles, California"
"Bethany S ",Michigan
"BethsGetaways ","Ann Arbor, Michigan"
"BethV3 ","Pleasant Lake, Michigan"
"Bettina L ","Dallas, Texas"
"Bettinfor2 ",null
"betty b ","Orlando, Florida"
"Betty L ","Sherwood, Wisconsin"
"Betty O ","Niagara On The Lake"
"BettyM27 ","Detroit, Michigan"
"Bev_in_SantaFe ","Midland, Michigan"
"Bev48124 ",null
"beverleyb229 ",USA
"Beverly I ","Westhampton, Massachusetts"
"Beverly N ",null
"Beverly P ",null
"Beverly S ","Shelby Township"
"beverlycameron ","Detroit, Michigan"
"bevowl ",null
"BEW64 ","Allen Park, Michigan"
"Beyond_YXU ","London, Canada"
"BF2531 ","Toledo, Ohio"
"Bfordtraveller ","Brantford, Ontario"
"BGElisabeth ","Bowling Green, Ohio"
"BGfalcon2012 ","Rochester, Michigan"
"bgjolie ","Toronto, Canada"
"bglover84 ","Madison, Wisconsin"
"bharrisrn ","Walnut Creek, California"
"BHartMich ","Northville, Michigan"
"Bhazzard ",Woodstock
"BHH3 ","Denver, Colorado"
"bhoke ",null
"Bhuparyatak14 ","Detroit, Michigan"
"Bierpapst ","Vienna, Austria"
"BiffHumble ","Dover, Delaware"
"Big Ed W W ",null
"bigbird94 ","Detroit, Michigan"
"BigBlueBall ","Detroit, Michigan"
"bigborisbushkin ",Cambridge
"BigCJ65 ","Boston/Cape Cod"
"Bigdaddy71100 ",null
"BigDDetroit_MI ","Detroit, MI"
"BigDMI ","Algonac, Michigan"
"BigDob ","Detroit, Michigan"
"bigdog1382 ","Los Angeles, CA"
"Bigfish5306 ",Michigan
"biggeejack ","Grand Rapids, Michigan"
"bigjoe950 ","New York City, New York"
"Bigo1952 ","Battle Creek, Michigan"
"bigodiddy ","Youngstown, Ohio"
"bigorange1103 ","Marshall, North Carolina"
"bigredspx ","County Antrim, N.Ireland"
"Bigrita ","Brampton, Canada"
"BigStew44 ","Franklin, Michigan"
"BigWig724 ","Midland, Michigan"
"bigworm76 ",null
"bikergordy ","Harrow Ontario"
"Bill B ","Bentleyville, Pennsylvania, United States"
"Bill C ","San Pedro, Belize"
"Bill F ","Detroit, Michigan"
"Bill K ","Mantorville, Minnesota"
"Bill L ","Saint Paul, Minnesota"
"Bill P ","Elizabethton, Tennessee"
"Bill R ","Rochester Hills, Michigan"
"Bill S ","Grayslake, Illinois"
"Bill T ","Dearborn Heights, Michigan"
"Bill_Gorton ","Chicago, Illinois"
"Bill_M_Toronto ",Toronto
"Bill516 ",null
"bill925 ","Southfield, Michigan, United States"
"BillB_10 ","Mold, United Kingdom"
"Billcmh ","Columbus, Ohio"
"billieboyblueEngland ",england
"BillMuldoon ","Harpswell, Maine"
"Billsmith ","Detroit, Michigan"
"BillTLansing ",Lansing
"Billy B ","Berkley, Michigan"
"Billy J ","Detroit, Michigan"
"Billy P ",null
"Billy S ",null
"billyminier ","s.e. michigan"
"Bilncrs ","Barking, United Kingdom"
"binu8590 ","Farmington Hills, Michigan"
"BiracialTravelWoman ",Chicago
"birderPa ","Detroit, Michigan"
"BirdWord58 ","Detroit, Michigan"
"Birkie2 ","Farmington Hills, Michigan"
"bish211264 ","Jonesville, Michigan"
"BishopCM2013 ","Farmington Hills, Michigan"
"Bishopg3 ","Detroit, Michigan"
"BiteDoc08 ","Atlanta, GA"
"bitler ","Newport Beach, CA"
"biz267 ","New Hudson, Michigan"
"bizcoachdawn ","Shelby Township, Michigan"
"biztravelerChicago ",Chicago
"BJ K ","Bay City, Michigan"
"BJ S ","Taylorsville, Kentucky"
"BjAaTravels ","Ann Arbor, Michigan"
"bjcmich ","Newport, Michigan"
"BJKNYY ","New York City, New York"
"BJL480 ","Detroit, Michigan"
"bjmeismer ","Clarkston, Michigan"
"Bjohn2469 ","Shawano, Wisconsin"
"BJRCollins ","Victoria, Seychelles"
